pass	amd	nv	ratio
Forward	4.4146	2.4358	1.8124
Reflection	1.4946	1.1292	1.3236
GI	1.0772	0.7401	1.4555
DepthNormal	0.1415	0.2114	0.6693
AO	0.1687	0.1981	0.8516
ReflectionTemporal	0.1595	0.1820	0.8764
GIDenoise0	0.1326	0.0946	1.4017
AODenoise0	0.1319	0.0922	1.4306
GIDenoise2	0.0894	0.1265	0.7067
AODenoise2	0.0899	0.1240	0.7250
AODenoise1	0.1076	0.0933	1.1533
GIDenoise1	0.1070	0.0966	1.1077
TemporalResolve	0.1017	0.0908	1.1200
Velocity	0.0742	0.0602	1.2326
Editor	0.0399	0.0621	0.6425
GITemporal	0.0547	0.0530	1.0321
